Orthogroup	Allma1_GeneCatalog_proteins_20131203.aa	Blabri1_GeneCatalog_proteins_20160901.aa	Blastocladiella_emersonii_ATCC_22665.proteins	Catan2_GeneCatalog_proteins_20160412.aa	Chytriomyces_confervae_GCA_006535975_ASM653597v1_protein	Parsed1_GeneCatalog_proteins_20170905.aa	Rhihy1_GeneCatalog_proteins_20151219.aa	Total
OG0000485	0	0	0	0	2	4	10	16
OG0000486	0	0	0	0	0	16	0	16
OG0000487	0	0	0	0	0	0	16	16
OG0000488	0	0	0	0	0	0	16	16
OG0000489	0	0	0	0	0	0	16	16
OG0000490	0	0	0	0	0	0	16	16
OG0000491	0	0	0	0	0	0	16	16
OG0000492	4	0	9	0	1	0	1	15
OG0000493	7	1	1	1	0	5	0	15
OG0000494	10	0	1	0	2	0	2	15
OG0000495	6	1	2	2	1	2	1	15
OG0000496	4	1	2	2	2	2	2	15
OG0000497	3	7	2	3	0	0	0	15
OG0000498	6	2	1	1	2	1	2	15
OG0000499	8	1	1	1	1	2	1	15
OG0000500	5	1	2	1	1	1	4	15
OG0000501	5	2	2	2	1	2	1	15
OG0000502	1	2	2	2	3	1	4	15
OG0000503	5	2	2	2	0	2	2	15
OG0000504	4	1	1	2	3	2	2	15
OG0000505	2	1	1	1	2	2	6	15
OG0000506	3	1	2	2	3	2	2	15
OG0000507	2	1	1	4	3	0	4	15
OG0000508	4	3	3	3	0	2	0	15
OG0000509	9	1	2	3	0	0	0	15
OG0000510	5	2	3	2	1	1	1	15
OG0000511	4	2	2	1	1	2	3	15
OG0000512	3	1	2	2	0	4	3	15
OG0000513	4	1	1	2	3	1	3	15
OG0000514	6	5	2	1	0	1	0	15
OG0000515	5	3	3	2	0	2	0	15
OG0000516	4	2	2	3	2	1	1	15
OG0000517	2	0	2	0	3	4	4	15
OG0000518	15	0	0	0	0	0	0	15
OG0000519	4	2	1	2	3	1	2	15
OG0000520	2	2	2	2	2	2	3	15
OG0000521	2	1	4	1	4	1	2	15
OG0000522	3	2	2	2	2	2	2	15
OG0000523	3	2	2	2	2	2	2	15
OG0000524	3	4	1	1	3	1	2	15
OG0000525	2	1	2	1	2	1	6	15
OG0000526	4	2	2	2	2	2	1	15
OG0000527	5	1	1	4	0	4	0	15
OG0000528	4	1	1	2	2	0	5	15
OG0000529	2	2	1	1	0	1	8	15
OG0000530	3	1	1	1	3	2	4	15
OG0000531	4	2	5	3	0	1	0	15
OG0000532	2	1	1	2	4	1	4	15
OG0000533	6	4	4	1	0	0	0	15
OG0000534	5	2	2	2	1	2	1	15
OG0000535	4	3	3	2	1	1	1	15
OG0000536	3	1	2	1	3	1	4	15
OG0000537	2	1	1	2	1	0	8	15
OG0000538	2	3	3	1	1	2	3	15
OG0000539	4	2	2	1	2	2	2	15
OG0000540	3	2	5	2	1	1	1	15
OG0000541	6	0	2	2	0	5	0	15
OG0000542	2	1	1	1	1	2	7	15
OG0000543	2	2	1	3	1	0	6	15
OG0000544	1	2	2	3	1	4	2	15
OG0000545	1	2	2	3	2	2	3	15
OG0000546	0	2	1	1	2	2	7	15
OG0000547	0	0	15	0	0	0	0	15
OG0000548	0	0	2	1	8	2	2	15
OG0000549	0	0	1	4	0	1	9	15
OG0000550	0	0	0	2	7	1	5	15
OG0000551	0	0	0	15	0	0	0	15
OG0000552	0	0	0	1	0	0	14	15
OG0000553	0	0	0	0	10	0	5	15
OG0000554	0	0	0	0	8	0	7	15
OG0000555	0	0	0	0	4	0	11	15
OG0000556	0	0	0	0	2	3	10	15
OG0000557	0	0	0	0	1	0	14	15
OG0000558	0	0	0	0	8	0	7	15
OG0000559	0	0	0	0	7	0	8	15
OG0000560	0	0	0	0	0	0	15	15
OG0000561	0	0	0	0	0	0	15	15
OG0000562	0	0	0	0	0	0	15	15
OG0000563	0	0	0	0	0	0	15	15
OG0000564	0	0	0	0	0	0	15	15
OG0000565	0	0	0	0	0	0	15	15
OG0000566	0	0	0	0	0	0	15	15
OG0000567	0	0	0	0	0	0	15	15
OG0000568	2	2	1	2	3	1	3	14
OG0000569	4	1	1	1	1	4	2	14
OG0000570	5	1	4	3	0	1	0	14
OG0000571	6	2	2	2	1	0	1	14
OG0000572	3	2	2	2	0	5	0	14
OG0000573	2	1	2	1	5	1	2	14
OG0000574	1	3	1	1	3	3	2	14
OG0000575	7	1	1	1	1	2	1	14
OG0000576	4	2	2	2	1	2	1	14
OG0000577	5	1	1	1	2	1	3	14
OG0000578	14	0	0	0	0	0	0	14
OG0000579	2	1	1	1	2	1	6	14
OG0000580	2	1	1	1	4	1	4	14
OG0000581	14	0	0	0	0	0	0	14
OG0000582	5	2	2	2	1	1	1	14
OG0000583	7	2	2	2	0	1	0	14
OG0000584	4	1	2	1	2	1	3	14
OG0000585	2	1	1	1	1	1	7	14
OG0000586	4	3	1	3	1	1	1	14
OG0000587	4	1	1	1	2	2	3	14
OG0000588	3	2	2	2	1	1	3	14
OG0000589	7	1	1	1	2	1	1	14
OG0000590	5	1	1	1	2	2	2	14
OG0000591	8	1	3	2	0	0	0	14
OG0000592	4	1	1	1	2	1	4	14
